Year,Month,Day,Home,Away,Hscore,Ascore,Outcome,HFGMade,HFGAtt,H3ptMade,H3ptAtt,HFTMade,HFTAtt,HOBoard,HDBoard,Hassist,Hsteal,Hblock,Hturnover,HPF,Aoutcome,AFGMade,AFGAtt,A3ptMade,A3ptAtt,AFTMade,AFTAtt,AOBoard,ADBoard,Aassist,Asteal,Ablock,Aturnover,APF,Bubble
2018,10,30,CHO,MIA,125,113,1,44,81,13,28,24,29,8,31,27,7,5,14,26,0,41,87,11,28,20,24,10,24,25,9,5,15,26,0
2018,10,30,CLE,ATL,136,114,1,45,90,13,25,33,43,13,35,23,13,1,13,20,0,44,82,15,35,11,17,6,33,25,6,8,22,29,0
2018,10,30,ORL,SAC,99,107,0,36,91,11,43,16,22,11,37,28,10,8,16,22,1,41,84,8,22,17,26,8,43,22,8,6,15,20,0
2018,10,30,BOS,DET,108,105,1,37,84,9,31,25,32,8,38,25,8,4,14,20,0,37,88,8,30,23,27,11,39,17,6,3,17,28,0
2018,10,30,TOR,PHI,129,112,1,47,92,11,27,24,28,9,34,29,13,6,15,26,0,38,91,14,40,22,30,17,30,25,7,5,23,24,0
2018,10,31,BRK,DET,120,119,1,43,101,12,38,22,30,18,37,26,5,3,16,33,0,39,93,11,34,30,39,14,41,16,8,6,16,30,0
2018,11,1,CHO,OKC,107,111,0,38,93,11,41,20,22,11,40,26,7,3,17,26,1,41,96,8,37,21,29,14,35,20,12,9,10,21,0
2018,11,1,CLE,DEN,91,110,0,34,83,5,18,18,19,13,22,18,11,4,13,22,1,41,85,10,26,18,21,14,30,22,8,7,12,18,0
2018,11,1,PHI,LAC,122,113,1,44,93,13,27,21,28,10,33,29,7,7,14,30,0,38,86,9,23,28,33,8,34,19,6,7,18,28,0
2018,11,1,ATL,SAC,115,146,0,42,87,8,31,23,34,10,33,26,6,6,22,28,1,53,98,14,35,26,32,10,36,38,14,3,14,29,0
2018,11,2,ORL,LAC,95,120,0,40,90,4,17,11,19,8,32,20,7,4,10,24,1,41,86,13,26,25,33,10,40,22,5,3,13,23,0
2018,11,2,BRK,HOU,111,119,0,42,85,15,34,12,20,9,29,22,5,4,10,28,1,41,83,15,39,22,32,11,30,22,4,10,9,21,0
2018,11,3,CHI,IND,105,107,0,28,71,6,23,26,27,4,33,15,13,4,19,18,1,36,86,11,32,19,25,8,37,23,10,2,13,16,0
2018,11,3,PHI,DET,109,99,1,28,69,9,29,44,51,3,42,21,11,3,17,31,0,33,83,5,30,28,41,7,37,16,8,3,17,32,0
2018,11,3,CHO,CLE,126,94,1,52,91,10,30,12,13,12,38,29,3,7,15,17,0,35,81,10,26,14,15,3,23,22,10,2,13,20,0
2018,11,3,IND,BOS,102,101,1,36,86,11,32,19,25,8,37,23,10,2,13,16,0,38,88,19,46,6,9,10,35,23,6,8,14,20,0
2018,11,3,ATL,MIA,123,118,1,46,88,13,32,18,23,8,29,33,11,7,16,21,0,41,85,16,40,20,26,13,28,27,6,6,17,20,0
2018,11,4,POR,LAL,110,114,1,38,86,7,28,28,32,17,49,15,7,1,16,20,0,39,85,6,24,23,29,6,32,25,6,4,16,18,0
2018,11,4,MIL,SAC,144,109,1,46,95,22,56,30,33,10,46,30,6,7,12,20,0,42,95,14,36,11,22,8,36,24,6,4,15,26,0
2018,11,4,BRK,PHI,122,97,1,50,105,9,28,13,18,15,23,27,11,3,9,28,0,31,65,4,20,31,41,9,37,16,6,1,27,21,0
2018,11,4,WAS,NYK,108,95,1,36,83,6,26,30,39,15,32,21,12,11,13,18,0,39,93,5,27,12,16,15,36,19,5,5,18,28,0
2018,11,10,TOR,NYK,128,112,1,42,79,14,35,30,40,12,34,24,8,4,15,20,0,44,96,6,22,18,22,16,31,18,12,6,14,26,0
2018,11,10,LAC,MIL,128,126,1,46,99,14,34,22,27,10,44,26,6,6,17,19,0,47,105,16,46,16,23,15,37,31,11,8,17,26,0
2018,11,11,DET,CHO,103,113,0,38,104,12,44,15,19,22,29,21,5,4,10,18,1,43,85,11,28,16,18,6,40,24,6,8,12,26,0
2018,11,17,BOS,TOR,123,116,0,35,91,5,33,11,20,17,34,16,11,4,14,22,1,48,89,14,35,12,13,8,46,31,14,10,23,24,0
2018,11,17,PHI,UTA,113,107,1,39,93,11,35,33,38,9,44,23,9,6,19,24,1,35,78,11,38,17,27,7,39,23,11,4,14,23,0
2018,11,17,BRK,LAC,119,127,0,40,88,13,28,26,34,15,32,25,4,5,11,22,1,48,95,11,23,20,24,9,29,23,4,1,8,25,0
2018,11,18,ORL,LAL,130,117,1,48,84,13,32,22,26,7,28,35,5,6,15,26,1,42,95,11,27,18,21,14,36,16,7,5,9,19,0
2018,11,18,MIN,MEM,87,100,0,31,80,12,29,13,16,10,39,20,8,3,20,20,1,35,82,12,28,18,25,10,33,26,11,9,12,20,0
2018,11,18,MIA,LAL,97,113,0,35,87,13,32,14,19,12,36,20,3,5,12,21,1,42,95,11,27,18,21,14,36,16,7,5,9,19,0
2018,11,18,ORL,NYK,131,117,1,48,84,13,32,22,26,7,28,35,5,6,15,26,0,40,87,8,24,29,35,17,25,12,7,2,14,26,0
2018,11,18,WAS,POR,109,119,0,43,96,13,32,10,21,9,34,28,4,9,11,30,1,39,86,11,30,30,35,9,43,26,4,3,15,25,0
2018,11,21,NYK,POR,114,118,1,44,89,15,30,14,17,9,40,25,3,11,17,24,0,34,93,9,41,23,28,10,30,13,8,6,17,20,0
2018,11,23,BRK,MIN,102,112,0,33,79,14,45,22,26,9,37,26,2,4,18,22,1,44,92,9,25,15,17,9,29,25,15,4,7,20,0
